mint,symbol,grad_s_from_mint,grad_bracket_ms,grad_source,window_s,n_fills,n_amm_fills,pages,requests,reached_mint,truncated,create_slot_agrees,pairs_closed_60s,pairs_open_60s,pairs_closed_full,pairs_open_full,early_pairs,early_closed_60s,early_closed_full
2HXK4CBcYeJQezA1MxNgSCHgXDx3kYgpe4ivk1hZpump,Benben,2464.0,1000,page,6064,4715,2726,48,48,1,0,1,128,101,991,237,229,128,218
2rXsK5JneEyCX8BGuYa3GvjncvNVroqoVtgP8pmnpump,Rico,433.0,3000,page,4033,2658,1496,27,27,1,0,1,66,106,674,103,172,66,168
2wpWjjDCQSHkvx13ocwJTLuzzMxRRLcPjrKJ6JZZpump,Doug,71.0,2000,page,3671,6807,6124,69,69,1,0,1,93,142,1041,279,235,93,218
32CdQdBUxbCsLy5AUHWmyidfwhgGUr9N573NBUrDpump,maxxing,10787.0,1000,page,14387,4571,1042,46,46,1,0,1,81,87,941,280,168,81,162
3BhUv3FtuuqBgM1n6yYEhEvQ78dpdR99v4frjmXUpump,Dummy,35.0,3000,tape,3635,7691,7249,77,77,1,0,1,144,308,1558,271,452,144,434
3C8Hz8sqdwn4gUJaWek23PsRfvyDsVZhaqoKooNMpump,Arnold,2712.0,2000,page,6312,1727,447,18,18,1,0,1,66,97,503,49,163,66,162
3gp8fDUxsLgL1R9kJZQzHMJHkJuVoy7e4w1JNqa9pump,retarded,3904.0,61000,bisect,7504,8894,5754,89,89,1,0,1,82,135,1458,410,217,82,207
3ujG4J8UVbyi5Kke7cZVe3qRirnbQvnAup9TtmBdpump,Lala,245.0,0,tape,3845,5710,4705,58,58,1,0,1,76,130,993,387,206,76,195
3ySgaPqYE2XWsepKi6drYFnKhzsa4MUFPNk1uomepump,Bulls,4.0,2000,tape,3604,3604,3575,37,37,1,0,1,128,112,749,171,240,128,222
4FEphC5XxY2QRQ1ojKEyKgt3qHE2CTrc6Q3C3RUBpump,Glow,47.0,0,tape,3647,13594,12873,136,136,1,0,1,130,273,1702,502,403,130,370
4XQLHssUxvXLjXYLRsbANkgvCsRmtKMBsShzRFWipump,Moonbase,4900947.0,77060000,bisect,4904547,985,616,10,10,1,0,1,10,3,237,76,13,10,13
4fqNB5X22yq9uMkWX42UuVJaNaN18YSV4aUySRCvpump,Him,281.0,2000,page,3881,2606,1641,27,27,1,0,1,81,144,663,96,225,81,213
4moo1vE7oReTVzhMwx7awW2Ue8vSZncKpvCS1PV6pump,Lele,1379.0,0,page,4979,6614,4319,67,68,1,0,1,80,121,1049,272,201,80,198
4sVahM4U8js62mQV58ABSkNRhf6Ztc7Xs2LXUznNpump,Alveus,5652.0,84000,bisect,9252,2972,895,30,30,1,0,1,89,107,738,95,196,89,188
4ssNBY5ERmnPkdtXLZjuraRirf2ovL3BaVFsaYrppump,mentally,1000.0,2000,page,4600,3903,1937,40,40,1,0,1,100,71,864,184,171,100,168
4u1LwQQWgR6vyhjrp3sJvv4d6wXCNrVdS78HxWAypump,Gem,175712.0,2613000,bisect,179312,3551,430,36,36,1,0,1,105,135,781,95,240,105,231
53RUohPnCrbRcVGjvfHHHUL4cmQX68yP8Ei6poepump,Duobao,1001.0,3000,page,4601,4625,2099,47,47,1,0,1,95,140,896,202,235,95,227
5RKEu9J3BcQWAno7c1xjkew4L3VJ8Mvaz5jU2kPrpump,escape,1342.0,2000,page,4942,2872,1429,29,29,1,0,1,86,90,700,127,176,86,169
5TQo5BPJf2PtKadyHmGARQZSHvza7wmjJ49kzsBipump,Iceberg,1021.0,3000,page,4621,6828,4823,69,69,1,0,1,88,107,1169,411,195,88,189
5wqbNRtu5eEuGLP1houqRMZdMqq2bvHZuVtY1yLcpump,Conspiracist,2274.0,35000,bisect,5874,10470,8453,105,105,1,0,1,59,116,1340,904,175,59,164
5yWb5o2XT4J5dFCg3w6EZHxRAgYhyuj8H1RAEFeUpump,Hope,644.0,3000,page,4244,16754,13844,168,168,1,0,1,97,125,1854,837,222,97,207
6DoLTBDEsvDswhUo6HwXPH5kDhY85k9x3pC7g6KVpump,Lockin,0.0,0,tape,3600,2136,2118,22,22,1,0,1,79,122,516,71,201,79,191
