phase,at_utc,mint,status,interval_ms
graduation,2026-08-02T23:32:58.379Z,EiAsJvYospNxVPtUoGbjUreXNbWcxdpKaiqeJNk6pump,200,4000
graduation,2026-08-02T23:33:02.016Z,EiAsJvYospNxVPtUoGbjUreXNbWcxdpKaiqeJNk6pump,200,4000
graduation,2026-08-02T23:33:06.013Z,EiAsJvYospNxVPtUoGbjUreXNbWcxdpKaiqeJNk6pump,200,4000
graduation,2026-08-02T23:33:10.064Z,EiAsJvYospNxVPtUoGbjUreXNbWcxdpKaiqeJNk6pump,200,4000
graduation,2026-08-02T23:33:14.015Z,EiAsJvYospNxVPtUoGbjUreXNbWcxdpKaiqeJNk6pump,200,4000
graduation,2026-08-02T23:33:18.017Z,EiAsJvYospNxVPtUoGbjUreXNbWcxdpKaiqeJNk6pump,200,4000
graduation,2026-08-02T23:33:22.026Z,EiAsJvYospNxVPtUoGbjUreXNbWcxdpKaiqeJNk6pump,200,4000
graduation,2026-08-02T23:33:26.021Z,EiAsJvYospNxVPtUoGbjUreXNbWcxdpKaiqeJNk6pump,200,4000
graduation,2026-08-02T23:33:30.021Z,EiAsJvYospNxVPtUoGbjUreXNbWcxdpKaiqeJNk6pump,200,4000
graduation,2026-08-02T23:33:34.033Z,EiAsJvYospNxVPtUoGbjUreXNbWcxdpKaiqeJNk6pump,200,4000
graduation,2026-08-02T23:33:38.030Z,EiAsJvYospNxVPtUoGbjUreXNbWcxdpKaiqeJNk6pump,200,4000
graduation,2026-08-02T23:33:42.034Z,FNjhEHDYshbNAU7Bge9bRgTgrk1T9dmFQtcPyGAVpump,200,4000
graduation,2026-08-02T23:33:46.035Z,FNjhEHDYshbNAU7Bge9bRgTgrk1T9dmFQtcPyGAVpump,200,4000
graduation,2026-08-02T23:33:50.056Z,FNjhEHDYshbNAU7Bge9bRgTgrk1T9dmFQtcPyGAVpump,200,4000
graduation,2026-08-02T23:33:54.058Z,FNjhEHDYshbNAU7Bge9bRgTgrk1T9dmFQtcPyGAVpump,200,4000
graduation,2026-08-02T23:33:58.030Z,FNjhEHDYshbNAU7Bge9bRgTgrk1T9dmFQtcPyGAVpump,200,4000
graduation,2026-08-02T23:34:02.061Z,FNjhEHDYshbNAU7Bge9bRgTgrk1T9dmFQtcPyGAVpump,200,4000
graduation,2026-08-02T23:34:06.040Z,FNjhEHDYshbNAU7Bge9bRgTgrk1T9dmFQtcPyGAVpump,200,4000
graduation,2026-08-02T23:34:10.043Z,FNjhEHDYshbNAU7Bge9bRgTgrk1T9dmFQtcPyGAVpump,200,4000
graduation,2026-08-02T23:34:14.048Z,FNjhEHDYshbNAU7Bge9bRgTgrk1T9dmFQtcPyGAVpump,200,4000
graduation,2026-08-02T23:34:18.044Z,FNjhEHDYshbNAU7Bge9bRgTgrk1T9dmFQtcPyGAVpump,200,4000
graduation,2026-08-02T23:34:22.151Z,FNjhEHDYshbNAU7Bge9bRgTgrk1T9dmFQtcPyGAVpump,200,4000
