mint,creator,grp,dev_sol,n_create_slot_trades,n_create_slot_wallets,multi_wallet_tx,max_wallets_in_one_tx,creator_is_first,p0,last_create_slot_price
aYNwhRkVp5oA6ZGYR4EjuRPPdDQTDVDrKkmBQ5bpump,FHCLS3LzMWE4cCiXuk2iMtpGpnN8nimiv7iJewKtTUKZ,preset15,14.814814813,15,14,3,3,1,6.239104152744016e-08,1.0021676642880007e-07
5R7Ne8Lu9X8qgEaNBQ6MQMLCqWSsJqdEH9jYzZQcpump,8T9ychy4shZUYRu6LFjgNYDWPEQ14KEwyNXsr76fcNZy,preset15,14.814814813,4,3,0,1,1,6.239104152744016e-08,7.487291663104498e-08
FBu5oW6cXXhmjMxCLXxcgWLnS1BEPeqcN1NgfwCapump,wWaasN7cGjxp5rBH6Jc3LRncTVcdD5cH9XAD9k6KcPw,preset15,14.814814813,7,5,0,1,1,6.239104152604795e-08,6.335763419575078e-08
5eyqBU97zAPKM58AJGZZs8SdaU5bQW3k8YQ5jZAFpump,BSY59UH2CvMAcE6hRpg4wgxJ81MryBRkY9GtpJ846wzp,preset15,14.814814813,4,3,0,1,1,6.239104152744016e-08,1.4167187382075633e-07
9X3XQNGCFBczSnTqFguufd5uAPpUG597P8Ck1Ltepump,GiVhpR7ci2rNurAhBt6DpoZDJ9ySA4mfm4Dj9hm4e6k4,preset15,14.814814813,1,0,0,1,1,6.239104152604795e-08,6.239104152604795e-08
4SLntRxvdnLanZQQAwTPGTV3dGfsTGydRN1ig5vmpump,8nb6GBUf6Jr1T3yVQQCm2Yhz3h1P97BKHdebWDdDpc8V,preset15,14.814814813,7,6,0,1,1,6.239104152604795e-08,6.377365429305708e-08
Ch1MgUHErY1jruvHjekTwmB6eLEmFHxkojkYpka1pump,G36Ki3U33R88QmHfsVQT4QQVhkBQWG1bEE8zTWeSuGQy,preset15,14.814814813,7,6,0,1,1,6.239104152604795e-08,6.334263393177587e-08
6AkytwyA3dskpKq4tCV12thknK4DYdr2jCot3FU3pump,EU99KnMn8DfgqhU1hz3TD14w8SBjh9LfeEEQL9AZJVze,preset15,14.814814813,1,0,0,1,1,6.239104152604795e-08,6.239104152604795e-08
HWCnENj3dv4Vc612zDDYzYKAamSgm2MMGRsHEZxYpump,7VMjBvvn1Qsg9RiYGwhHfTmgn9dXcQqLvBVN3UzLkqic,preset15,14.814814813,7,5,0,1,1,6.239104152744016e-08,7.71188109555766e-08
VfDZ4j1HRFrr4Z4bb83xtzJHBqUwxmSfzgJijeBpump,BcxproHNnqpNvkhsDYhrkoTMHNJkiQf6pNAZVyB5qdJR,preset15,14.814814813,3,2,0,1,1,6.239104152744016e-08,6.801229116797501e-08
BCakH75E8YNcYAvNbCjx6U5Pw8TNaeKNcwRH6W7Upump,6wY7wWyX8esJm6oNFGdvYj7PFHsAcbqHGyCboJAPwXLb,preset15,14.814814813,5,4,0,1,1,6.239104152604795e-08,6.452727754436244e-08
CDmjQ7zs5knJqYEW6gpsgfYCYko4ierdk6JFDNM6pump,862TYSvRYoiHAK3F3WwTRYAfuGiQaGdxedN9AGvRGWo2,preset15,14.814814813,17,14,0,1,1,6.239104152744016e-08,1.3526418091550463e-07
C7UoJMLPMBTa4Ab8ttuq53Po81fKWphQ6agLc5xppump,Az9Sy33xrAMGf2dXFsx8U6N6LE417AEPzSspExPmbWxR,preset15,14.814814813,2,1,0,1,1,6.239104152604795e-08,6.583191043281009e-08
E14S95gAj6v6gzJoJVzr3D4v43PLXPT2viPqFsfApump,Cep3z8xWb9BSvNp5oPbgLu6nuEJ5CvcFvNTNethg7Vpf,preset15,14.814814813,4,2,0,1,1,6.239104152604795e-08,7.664434205347072e-08
6HfZqyGoo4YHrRHyBkRLYQeuUzxJyTD4RfmGjdspump,3GeJvJBWWpG2DGxKiUVWa1fsQmZJgWyxNsyunEqKXqjb,preset15,14.814814813,2,1,0,1,1,6.239104152604795e-08,6.375972565960533e-08
