wallet,launches_traded,launches_closed_in_window,launches_open_at_window_end,pnl_closed_sol,closed_wins,closed_hit_rate,median_closed_pnl_sol,launches_profitable,hit_rate,pnl_sol_gross_of_fees,realised_sol,pnl_usd_gross_of_fees,sol_deployed,sol_returned,n_buys,n_sells,median_first_trade_s,median_pnl_per_launch_sol,launches_entered_within_30s,launches_in_create_slot
2CHrnc2LyagAbMaMFgthiDWh7ZZ9zT9TF8WEJf7MNE71,235,221,14,503.900094,216,0.9774,2.156123,222,0.9447,503.225722,493.8158,40503.47,486.270575,980.086374,242,508,0.0,1.944321,235,235
Atgx1JXsp8pTQ9Qsi74wF5pLMVwHwyQc6jJCu84evN7c,235,215,20,375.074074,200,0.9302,1.466073,208,0.8851,372.871067,361.74583,30257.78,462.489242,824.235072,242,488,0.0,1.327181,235,235
5brv79eFZ2rGprXNvqgVJBkBptkkw8GJX1XydJyZLyAr,97,90,7,313.742265,87,0.9667,1.273887,94,0.9691,380.186608,376.9192,32556.15,722.997141,1099.916341,97,769,0.0,2.076534,97,83
8kzFH4rgFzy4ccz97AhgqRT7Qbt7HnD5oJCDK1Sxdarb,235,208,27,269.918925,178,0.8558,1.044818,182,0.7745,257.139186,241.154855,21138.94,480.027399,721.182254,242,466,0.0,0.94985,235,235
EgQX9R3Qph1dPHE1Ysou1auSYqRGomCNmLDC28Yg77aq,48,48,0,227.83514,45,0.9375,3.976715,45,0.9375,227.83514,227.83514,19342.84,406.538502,634.373642,50,249,0.0,3.976715,47,34
2CQgjcdNEo7WtbQLpJTAVcC3Ga61pNvRDTgP5grzctFG,62,60,2,38.027342,37,0.6167,0.127305,37,0.5968,36.385995,36.009636,2829.03,254.052783,290.062418,67,262,0.0,0.102871,61,53
GoYiMg4YiiEHWyN8W32wgDftB7p9bpKWVrTTq4TD7kRC,7,6,1,31.206405,6,1.0,5.771532,6,0.8571,31.060626,31.008874,2618.11,45.169944,76.178818,8,103,0.0,4.596385,7,4
GoAT1C5MgqKWUanJRFQxzk1rJMshwsPFzucVNQ3c6GYx,5,4,1,27.478231,4,1.0,6.723559,4,0.8,24.801044,23.122646,2055.19,49.382716,72.505362,5,101,0.0,6.234651,5,3
GfJA84gwT9LpeyzeckeXkCsf8vdQuA64ZYQ91xoBawvt,174,100,74,27.008835,53,0.53,0.064438,78,0.4483,11.955914,-19.597267,1024.22,388.76591,369.168643,182,240,0.0,-0.059855,174,174
Anubis512ho5t7S6LNSwoxUWdeQmX2kf3RvZ8ApHHF5w,76,76,0,26.386039,65,0.8553,0.290764,65,0.8553,26.386039,26.386039,1941.78,148.846676,175.232715,78,78,0.0,0.290764,76,38
