mint,symbol,wallet,first_t_s,first_slot,slots_after_create,in_create_slot,closed_in_window,first_buy_price_sol,fill_mult_vs_devbuy,sol_in,sol_out,residual_tokens,residual_mark_now_sol,realised_sol,pnl_sol_gross_of_fees
13JbNUE6PUmkhda8YyfMaHqUnYYYvtq1Tgp9SJjepump,civilization,Bs24o52sJ7krii8zcv3NEjNmm6B68ZQhUxxjmJErownt,0.0,411639965,0,1,1,6.801229115742691e-08,1.9559,9.876543,16.766734,0.0,0.0,6.890191,6.890191
13JbNUE6PUmkhda8YyfMaHqUnYYYvtq1Tgp9SJjepump,civilization,2CHrnc2LyagAbMaMFgthiDWh7ZZ9zT9TF8WEJf7MNE71,0.0,411639965,0,1,1,3.73870867145051e-08,1.0752,1.234568,3.138185,0.0,0.0,1.903617,1.903617
13JbNUE6PUmkhda8YyfMaHqUnYYYvtq1Tgp9SJjepump,civilization,Atgx1JXsp8pTQ9Qsi74wF5pLMVwHwyQc6jJCu84evN7c,0.0,411639965,0,1,1,3.9787393646277536e-08,1.1442,1.096296,2.430448,0.0,0.0,1.334151,1.334151
13JbNUE6PUmkhda8YyfMaHqUnYYYvtq1Tgp9SJjepump,civilization,7gEnRjDud56BVmBQMWLTticJoouzrpnyaAnN5A3EEqiy,0.0,411639965,0,1,1,7.537976457835133e-08,2.1677,2.469136,3.507153,0.0,0.0,1.038017,1.038017
13JbNUE6PUmkhda8YyfMaHqUnYYYvtq1Tgp9SJjepump,civilization,8kzFH4rgFzy4ccz97AhgqRT7Qbt7HnD5oJCDK1Sxdarb,0.0,411639965,0,1,1,4.233030152846853e-08,1.2173,1.125926,2.061372,0.0,0.0,0.935446,0.935446
13JbNUE6PUmkhda8YyfMaHqUnYYYvtq1Tgp9SJjepump,civilization,iE7qrNXzhwwt34FP2K2PXzCLxDrpbS2HuKs451JAkhM,1.0,411639968,3,0,1,1.0202732303474414e-07,2.9341,0.977778,1.238755,0.0,0.0,0.260977,0.260977
13JbNUE6PUmkhda8YyfMaHqUnYYYvtq1Tgp9SJjepump,civilization,9ZGrGSzAcWrGvzALFpUqiiXphrqH45opGC6uN6uZonE,1.0,411639968,3,0,1,9.85755110797005e-08,2.8348,1.975309,2.181565,0.0,0.0,0.206257,0.206257
13JbNUE6PUmkhda8YyfMaHqUnYYYvtq1Tgp9SJjepump,civilization,61ohufUkdgu8sxxP3Rj4zTMfN9qrNwg97SBzHNETng32,18.0,411640013,48,0,1,9.356017998189483e-08,2.6906,2.469136,2.664097,0.0,0.0,0.194961,0.194961
13JbNUE6PUmkhda8YyfMaHqUnYYYvtq1Tgp9SJjepump,civilization,7FovysP3MGZjFb2MRPtQPn27Ntejdjot2u2WAyL1fUaA,16.0,411640008,43,0,1,9.878847891206988e-08,2.8409,1.481481,1.640197,0.0,0.0,0.158715,0.158715
13JbNUE6PUmkhda8YyfMaHqUnYYYvtq1Tgp9SJjepump,civilization,8HjU8TmPPPskjMKDnYbdV8TBH6h9S1HdivLf6tQ8wbug,0.0,411639966,1,0,1,8.453911856436257e-08,2.4311,1.046612,1.192731,0.0,0.0,0.146118,0.146118
21oNMqonBPR2UFkShvQFpoLnHmaesnC8vRbz5fd3pump,feels,5brv79eFZ2rGprXNvqgVJBkBptkkw8GJX1XydJyZLyAr,1.0,411406070,1,0,1,6.239104150920553e-08,1.7942,7.901235,14.151351,0.0,0.0,6.250116,6.250116
21oNMqonBPR2UFkShvQFpoLnHmaesnC8vRbz5fd3pump,feels,2CHrnc2LyagAbMaMFgthiDWh7ZZ9zT9TF8WEJf7MNE71,0.0,411406069,0,1,1,3.73870867145051e-08,1.0752,1.234568,3.396774,0.0,0.0,2.162206,2.162206
21oNMqonBPR2UFkShvQFpoLnHmaesnC8vRbz5fd3pump,feels,DkioBQf1aZDx4cYARPKZKvGtwyvyABFdze8bAd5YX4j1,1.0,411406070,1,0,1,8.154647240823158e-08,2.3451,3.950617,5.398581,0.0,0.0,1.447964,1.447964
21oNMqonBPR2UFkShvQFpoLnHmaesnC8vRbz5fd3pump,feels,7FovysP3MGZjFb2MRPtQPn27Ntejdjot2u2WAyL1fUaA,6.0,411406083,14,0,1,8.337206831601929e-08,2.3976,2.469136,3.481732,0.0,0.0,1.012596,1.012596
21oNMqonBPR2UFkShvQFpoLnHmaesnC8vRbz5fd3pump,feels,7gEnRjDud56BVmBQMWLTticJoouzrpnyaAnN5A3EEqiy,1.0,411406070,1,0,1,6.945548260428679e-08,1.9974,2.469136,3.390387,0.0,0.0,0.921251,0.921251
21oNMqonBPR2UFkShvQFpoLnHmaesnC8vRbz5fd3pump,feels,9ZGrGSzAcWrGvzALFpUqiiXphrqH45opGC6uN6uZonE,1.0,411406070,1,0,1,8.795560609867506e-08,2.5294,1.975309,2.436624,0.0,0.0,0.461315,0.461315
21oNMqonBPR2UFkShvQFpoLnHmaesnC8vRbz5fd3pump,feels,ynAZkVZwZBXzKq9ixT5i2NANQDnX6VW2frwFsFTDBvP,6.0,411406083,14,0,1,8.593462862283208e-08,2.4713,0.790123,1.121366,0.0,0.0,0.331243,0.331243
21oNMqonBPR2UFkShvQFpoLnHmaesnC8vRbz5fd3pump,feels,DReGN3hKwQN5NqFRv1vFTAgKQUZkanYZKfuYi3RnRaSY,1.0,411406071,2,0,1,9.257954313959177e-08,2.6624,0.987654,1.255723,0.0,0.0,0.268069,0.268069
21oNMqonBPR2UFkShvQFpoLnHmaesnC8vRbz5fd3pump,feels,Ariad4z9mAeCXkxuAwRRhSGgNbNYCBDUCHNCRKy6XYVP,22.0,411406123,54,0,1,8.854974724905799e-08,2.5465,1.172056,1.348117,0.0,0.0,0.176061,0.176061
21oNMqonBPR2UFkShvQFpoLnHmaesnC8vRbz5fd3pump,feels,3RHCsZRxbQ8NnxwL1xwbbAZaFy2CkKZfozLDL46TCZXh,30.0,411406143,74,0,1,8.600920497722277e-08,2.4734,1.955556,2.041635,0.0,0.0,0.086079,0.086079
2CQ8xNWn7Y8r47V8omECuaYRUrYWyZtiDozckwPZpump,iGen,GoYiMg4YiiEHWyN8W32wgDftB7p9bpKWVrTTq4TD7kRC,0.0,412117737,1,0,1,7.507779286043225e-08,2.1591,9.876543,16.823221,127372.062,0.003535,6.946678,6.950213
2CQ8xNWn7Y8r47V8omECuaYRUrYWyZtiDozckwPZpump,iGen,2CHrnc2LyagAbMaMFgthiDWh7ZZ9zT9TF8WEJf7MNE71,0.0,412117736,0,1,1,3.73870867145051e-08,1.0752,1.234568,2.884264,0.0,0.0,1.649696,1.649696
2CQ8xNWn7Y8r47V8omECuaYRUrYWyZtiDozckwPZpump,iGen,Atgx1JXsp8pTQ9Qsi74wF5pLMVwHwyQc6jJCu84evN7c,0.0,412117736,0,1,1,3.9787393646277536e-08,1.1442,1.096296,2.008578,0.0,0.0,0.912282,0.912282
2CQ8xNWn7Y8r47V8omECuaYRUrYWyZtiDozckwPZpump,iGen,GfJA84gwT9LpeyzeckeXkCsf8vdQuA64ZYQ91xoBawvt,0.0,412117736,0,1,1,4.5209108621826235e-08,1.3001,1.234568,1.797844,0.0,0.0,0.563276,0.563276
2CQ8xNWn7Y8r47V8omECuaYRUrYWyZtiDozckwPZpump,iGen,8kzFH4rgFzy4ccz97AhgqRT7Qbt7HnD5oJCDK1Sxdarb,0.0,412117736,0,1,1,4.233030152846853e-08,1.2173,1.125926,1.594837,0.0,0.0,0.468911,0.468911
2CQ8xNWn7Y8r47V8omECuaYRUrYWyZtiDozckwPZpump,iGen,6bqbSJXwMrmu8BHPcMp3mHrqqMS9CTL5LM1SdT7Hs82K,11.0,412117765,29,0,1,8.851677557017458e-08,2.5455,2.933333,3.373271,0.0,0.0,0.439937,0.439937
2CQ8xNWn7Y8r47V8omECuaYRUrYWyZtiDozckwPZpump,iGen,7gEnRjDud56BVmBQMWLTticJoouzrpnyaAnN5A3EEqiy,0.0,412117737,1,0,1,9.767945889155271e-08,2.809,6.91358,7.301033,0.0,0.0,0.387453,0.387453
2CQ8xNWn7Y8r47V8omECuaYRUrYWyZtiDozckwPZpump,iGen,5P8A9bGUhroskpuA4hhRbybgt37TcTz7ft5zLAh8orpn,0.0,412117736,0,1,1,4.794124806934466e-08,1.3787,1.135802,1.4451,0.0,0.0,0.309297,0.309297
2CQ8xNWn7Y8r47V8omECuaYRUrYWyZtiDozckwPZpump,iGen,7kCo5vrQGVYZJf9qjABWTHeSeDafkdeFD7ttrQhxvxvJ,11.0,412117765,29,0,1,9.964469924058887e-08,2.8655,3.256,3.437161,0.0,0.0,0.181161,0.181161
2CQ8xNWn7Y8r47V8omECuaYRUrYWyZtiDozckwPZpump,iGen,CyBZ1M42J7m2z34VUDd3qVhbuH5GdcGnqgMGJJhAX8MR,7.0,412117755,19,0,1,8.41641938254364e-08,2.4204,0.872825,0.983062,0.0,0.0,0.110237,0.110237
2HXK4CBcYeJQezA1MxNgSCHgXDx3kYgpe4ivk1hZpump,Benben,2CHrnc2LyagAbMaMFgthiDWh7ZZ9zT9TF8WEJf7MNE71,0.0,432862986,0,1,1,7.194368105694149e-08,1.1531,3.308642,5.78869,0.0,0.0,2.480048,2.480048
2HXK4CBcYeJQezA1MxNgSCHgXDx3kYgpe4ivk1hZpump,Benben,Atgx1JXsp8pTQ9Qsi74wF5pLMVwHwyQc6jJCu84evN7c,0.0,432862986,0,1,1,8.186117150377942e-08,1.3121,3.209877,4.393443,0.0,0.0,1.183566,1.183566
