mint,symbol,name,created_utc,graduated,ath_mcap_usd,ath_t_s,mcap_now_usd,twitter,listed_creator,creator_field_moved,chain_tx_total,chain_tx_ok,chain_tx_failed,chain_tx_ok_first30s,chain_tx_all_first30s,curve_last_tx_s,tape,tape_window_s,n_trades,n_wallets,dev_sells,dev_sol_in,dev_sol_out,dev_net_sol,dev_net_usd,dev_first_sell_s,dev_zero_s,dev_exit_complete,price_devbuy,price_dev_zero,price_t60,window_peak_price,window_peak_t_s,window_peak_mult,sol_usd,n_createslot_wallets,n_wallets_30s,n_winners_30s,n_winners_all,best_wallet,best_wallet_sol,best_30s_wallet,best_30s_sol
EijM3FJm9Ka6Cf6byQB1GdeJxhZqAayfzuV4Xp9Jpump,Restoration,Restoration,2026-07-28T20:51:02Z,0,18791.71,1.0,5670.98,https://x.com/genyrational/status/2082207186877301125,7ufmve7ZSFCzuNcKRunYrGtyb2Ka1MXzkWwf7jZhVsmL,0,11591,2217,9374,303,9169,19092.0,window,300.0,1106,316,27,14.814815,51.037124,36.222309,2678.4,4.0,17.0,1,6.239104152744016e-08,1.3523551440581395e-07,1.1258312938288857e-07,2.5397411585895773e-07,1.0,4.0707,73.943,14,159,33,57,2CHrnc2LyagAbMaMFgthiDWh7ZZ9zT9TF8WEJf7MNE71,3.4292,2CHrnc2LyagAbMaMFgthiDWh7ZZ9zT9TF8WEJf7MNE71,3.4292
EiAsJvYospNxVPtUoGbjUreXNbWcxdpKaiqeJNk6pump,shrek,going through it,2026-07-28T18:39:40Z,1,40020.59,9674.0,23036.98,https://x.com/genyrational/status/2082174126739910809,7ufmve7ZSFCzuNcKRunYrGtyb2Ka1MXzkWwf7jZhVsmL,0,13262,2585,10677,251,10226,4420.0,window,300.0,1020,357,26,14.814815,51.855771,37.040956,2732.51,3.0,20.0,1,6.239104152744016e-08,1.4324038524263994e-07,1.2662358218901114e-07,2.3282203159937274e-07,1.0,3.7317,73.77,11,128,83,244,2CHrnc2LyagAbMaMFgthiDWh7ZZ9zT9TF8WEJf7MNE71,4.9033,2CHrnc2LyagAbMaMFgthiDWh7ZZ9zT9TF8WEJf7MNE71,4.9033
BLs49DufsjJjuGCHQ5s1ov7rRAKDyrbATDu8v624pump,Luka,King Luka,2026-07-28T13:51:53Z,0,18568.89,1.0,5145.4,https://x.com/genyrational/status/2082101705844355288,7ufmve7ZSFCzuNcKRunYrGtyb2Ka1MXzkWwf7jZhVsmL,0,18769,3927,14842,270,13082,45952.0,window,300.0,1419,473,27,14.814815,56.82575,42.010935,3051.2,4.0,27.0,1,6.239104152744016e-08,1.438915828323213e-07,1.2279705997235662e-07,2.555614863343311e-07,1.0,4.0961,72.629,14,143,71,157,2CHrnc2LyagAbMaMFgthiDWh7ZZ9zT9TF8WEJf7MNE71,3.6685,2CHrnc2LyagAbMaMFgthiDWh7ZZ9zT9TF8WEJf7MNE71,3.6685
FNjhEHDYshbNAU7Bge9bRgTgrk1T9dmFQtcPyGAVpump,Fushin,幸运星,2026-07-28T11:22:04Z,1,36422.36,1623.0,3143.39,https://x.com/genyrational/status/2082063990801178707,7ufmve7ZSFCzuNcKRunYrGtyb2Ka1MXzkWwf7jZhVsmL,0,11589,3191,8398,361,8026,1512.0,window,300.0,1450,481,32,14.814815,63.922913,49.108098,3587.84,4.0,25.0,1,6.239104152744016e-08,2.0087427771746285e-07,2.2959843990389487e-07,2.76058708798966e-07,2.0,4.4247,73.06,6,200,93,161,2CHrnc2LyagAbMaMFgthiDWh7ZZ9zT9TF8WEJf7MNE71,4.9881,2CHrnc2LyagAbMaMFgthiDWh7ZZ9zT9TF8WEJf7MNE71,4.9881
GFG5ZFMoeVrc3fapj5iu6mTyRixoN1wgab3NCjwCpump,Baby,Squishy Glitter Babies,2026-07-27T17:45:13Z,1,47848.66,81611.0,7766.52,https://x.com/genyrational/status/2081798041728675976,7ufmve7ZSFCzuNcKRunYrGtyb2Ka1MXzkWwf7jZhVsmL,0,17354,3899,13455,198,12557,81500.0,window,300.0,983,361,22,14.814815,45.339239,30.524424,2315.77,4.0,22.0,1,6.239104152744016e-08,1.1682949113527292e-07,1.0236108129631971e-07,2.2633187051174623e-07,1.0,3.6276,75.866,13,115,37,145,2CHrnc2LyagAbMaMFgthiDWh7ZZ9zT9TF8WEJf7MNE71,2.2744,2CHrnc2LyagAbMaMFgthiDWh7ZZ9zT9TF8WEJf7MNE71,2.2744
6Quog29HQ5tA5BdnCv3FWpW8WEpdxCsxEpt2TGCZpump,Gnomes,Gnomes,2026-07-27T16:20:11Z,1,371823.53,105630.0,190092.14,https://x.com/genyrational/status/2081776640959414708,7ufmve7ZSFCzuNcKRunYrGtyb2Ka1MXzkWwf7jZhVsmL,0,15422,3504,11918,280,11637,3776.0,window,300.0,1259,472,27,14.814815,53.079398,38.264583,2880.56,4.0,23.0,1,6.239104152744016e-08,1.4249586642859248e-07,1.293303542905516e-07,3.116779359767528e-07,283.0,4.9956,75.28,13,162,109,387,5URyNUmhcuWdZiiQrtNdFrSbQPfq72UV2gqQasr9c19Y,78.866,7EeHocJ2eLfDvmWNzsMDeZfWgtPwVRP7uY2RSJqQebBj,64.4263
FBKyGDGLg4WYVecXfSL8Ke2fNXe8Si72NeGbcRSXpump,Nuannuan,Nuannuan,2026-07-27T14:05:29Z,1,31690.62,496.0,1841.9,https://x.com/genyrational/status/2081742738802766303,7ufmve7ZSFCzuNcKRunYrGtyb2Ka1MXzkWwf7jZhVsmL,0,15285,1211,14074,273,13574,1475.0,window,300.0,882,349,23,14.814815,50.568148,35.753333,2747.29,4.0,20.0,1,6.239104152744016e-08,1.386425341209757e-07,1.0641435525907121e-07,2.431354434243127e-07,1.0,3.897,76.84,12,140,37,100,CakmznBSb6c1DbRkJwrG8eLbZJtmHzBPHFTmbjHJn6ec,1.2288,2CHrnc2LyagAbMaMFgthiDWh7ZZ9zT9TF8WEJf7MNE71,0.9449
FjLbCT5pj246VsQmJ5fj4za7nULWQPv5cwipFKmJpump,大坏蛋,Dà huài dàn,2026-07-27T11:50:09Z,1,31214.45,144.0,2888.26,https://x.com/genyrational/status/2081708674817331399,7ufmve7ZSFCzuNcKRunYrGtyb2Ka1MXzkWwf7jZhVsmL,0,10213,1139,9074,286,8969,212.0,window,300.0,2321,697,25,14.814815,53.085765,38.27095,2928.65,4.0,17.0,1,6.239104152744016e-08,1.6115146211078632e-07,2.344883761807413e-07,4.1088017043229726e-07,144.0,6.5856,76.524,7,150,114,283,2CHrnc2LyagAbMaMFgthiDWh7ZZ9zT9TF8WEJf7MNE71,4.5594,2CHrnc2LyagAbMaMFgthiDWh7ZZ9zT9TF8WEJf7MNE71,4.5594
3gEf38VM49swbxd3XynsgejSM3MSGKxkiCNBoeEbpump,Calitures,Calitures,2026-07-25T17:47:42Z,0,25543.74,31273.0,3033.55,https://x.com/genyrational/status/2081073882237173981,7ufmve7ZSFCzuNcKRunYrGtyb2Ka1MXzkWwf7jZhVsmL,0,15122,5488,9634,478,9638,285462.0,window,300.0,1676,546,28,14.814815,54.909474,40.09466,2987.85,4.0,16.0,1,6.239104152744016e-08,1.860473880122919e-07,2.0345147187262091e-07,2.8192151107856517e-07,75.0,4.5186,74.52,13,210,120,217,2CHrnc2LyagAbMaMFgthiDWh7ZZ9zT9TF8WEJf7MNE71,8.1234,2CHrnc2LyagAbMaMFgthiDWh7ZZ9zT9TF8WEJf7MNE71,8.1234
EDbFTcQsdezqk1HNxnciwbVYPFWovz6ibZgUVp59pump,Slap,Slapcat,2026-07-25T12:59:02Z,1,33945.2,922.0,1701.56,https://x.com/genyrational/status/2081001235260297471,7ufmve7ZSFCzuNcKRunYrGtyb2Ka1MXzkWwf7jZhVsmL,0,13849,914,12935,272,9397,406.0,window,300.0,1938,672,29,14.814815,50.038357,35.223542,2602.27,4.0,22.0,1,6.239104152744016e-08,1.638328405903698e-07,2.8555485224600514e-07,4.2925390469239065e-07,232.0,6.8801,73.879,11,146,109,289,5P8A9bGUhroskpuA4hhRbybgt37TcTz7ft5zLAh8orpn,6.6597,5P8A9bGUhroskpuA4hhRbybgt37TcTz7ft5zLAh8orpn,6.6597
