mint,symbol,point,t_s,price_sol,mult_vs_devbuy
EijM3FJm9Ka6Cf6byQB1GdeJxhZqAayfzuV4Xp9Jpump,Restoration,end_of_second_0,0,1.9615668999794588e-07,3.144
EijM3FJm9Ka6Cf6byQB1GdeJxhZqAayfzuV4Xp9Jpump,Restoration,dev_zero,17.0,1.3523551440581395e-07,2.1675
EijM3FJm9Ka6Cf6byQB1GdeJxhZqAayfzuV4Xp9Jpump,Restoration,t30,30,1.1671459407198338e-07,1.8707
EijM3FJm9Ka6Cf6byQB1GdeJxhZqAayfzuV4Xp9Jpump,Restoration,t60,60,1.1258312938288857e-07,1.8045
EijM3FJm9Ka6Cf6byQB1GdeJxhZqAayfzuV4Xp9Jpump,Restoration,t120,120,1.0708394519855139e-07,1.7163
EijM3FJm9Ka6Cf6byQB1GdeJxhZqAayfzuV4Xp9Jpump,Restoration,t300,300,8.761324957504377e-08,1.4043
EijM3FJm9Ka6Cf6byQB1GdeJxhZqAayfzuV4Xp9Jpump,Restoration,window_peak,1.0,2.5397411585895773e-07,4.0707
EiAsJvYospNxVPtUoGbjUreXNbWcxdpKaiqeJNk6pump,shrek,end_of_second_0,0,1.7224485836420096e-07,2.7607
EiAsJvYospNxVPtUoGbjUreXNbWcxdpKaiqeJNk6pump,shrek,dev_zero,20.0,1.4324038524263994e-07,2.2958
EiAsJvYospNxVPtUoGbjUreXNbWcxdpKaiqeJNk6pump,shrek,t30,30,1.7950871878994007e-07,2.8772
EiAsJvYospNxVPtUoGbjUreXNbWcxdpKaiqeJNk6pump,shrek,t60,60,1.2662358218901114e-07,2.0295
EiAsJvYospNxVPtUoGbjUreXNbWcxdpKaiqeJNk6pump,shrek,t120,120,1.212230601505544e-07,1.943
EiAsJvYospNxVPtUoGbjUreXNbWcxdpKaiqeJNk6pump,shrek,t300,300,1.0982773533129399e-07,1.7603
EiAsJvYospNxVPtUoGbjUreXNbWcxdpKaiqeJNk6pump,shrek,window_peak,1.0,2.3282203159937274e-07,3.7317
BLs49DufsjJjuGCHQ5s1ov7rRAKDyrbATDu8v624pump,Luka,end_of_second_0,0,1.8288492538458875e-07,2.9313
BLs49DufsjJjuGCHQ5s1ov7rRAKDyrbATDu8v624pump,Luka,dev_zero,27.0,1.438915828323213e-07,2.3063
BLs49DufsjJjuGCHQ5s1ov7rRAKDyrbATDu8v624pump,Luka,t30,30,1.3911888552848296e-07,2.2298
BLs49DufsjJjuGCHQ5s1ov7rRAKDyrbATDu8v624pump,Luka,t60,60,1.2279705997235662e-07,1.9682
BLs49DufsjJjuGCHQ5s1ov7rRAKDyrbATDu8v624pump,Luka,t120,120,1.9315356963771057e-07,3.0959
BLs49DufsjJjuGCHQ5s1ov7rRAKDyrbATDu8v624pump,Luka,t300,300,1.7868491593096893e-07,2.864
BLs49DufsjJjuGCHQ5s1ov7rRAKDyrbATDu8v624pump,Luka,window_peak,1.0,2.555614863343311e-07,4.0961
FNjhEHDYshbNAU7Bge9bRgTgrk1T9dmFQtcPyGAVpump,Fushin,end_of_second_0,0,1.2951270173049837e-07,2.0758
FNjhEHDYshbNAU7Bge9bRgTgrk1T9dmFQtcPyGAVpump,Fushin,dev_zero,25.0,2.0087427771746285e-07,3.2196
FNjhEHDYshbNAU7Bge9bRgTgrk1T9dmFQtcPyGAVpump,Fushin,t30,30,1.7368005039333616e-07,2.7837
FNjhEHDYshbNAU7Bge9bRgTgrk1T9dmFQtcPyGAVpump,Fushin,t60,60,2.2959843990389487e-07,3.68
FNjhEHDYshbNAU7Bge9bRgTgrk1T9dmFQtcPyGAVpump,Fushin,t120,120,1.9556578343257483e-07,3.1345
FNjhEHDYshbNAU7Bge9bRgTgrk1T9dmFQtcPyGAVpump,Fushin,t300,300,1.7815004666462332e-07,2.8554
FNjhEHDYshbNAU7Bge9bRgTgrk1T9dmFQtcPyGAVpump,Fushin,window_peak,2.0,2.76058708798966e-07,4.4247
GFG5ZFMoeVrc3fapj5iu6mTyRixoN1wgab3NCjwCpump,Baby,end_of_second_0,0,1.7444963233900185e-07,2.7961
GFG5ZFMoeVrc3fapj5iu6mTyRixoN1wgab3NCjwCpump,Baby,dev_zero,22.0,1.1682949113527292e-07,1.8725
GFG5ZFMoeVrc3fapj5iu6mTyRixoN1wgab3NCjwCpump,Baby,t30,30,1.03146595380183e-07,1.6532
GFG5ZFMoeVrc3fapj5iu6mTyRixoN1wgab3NCjwCpump,Baby,t60,60,1.0236108129631971e-07,1.6406
GFG5ZFMoeVrc3fapj5iu6mTyRixoN1wgab3NCjwCpump,Baby,t120,120,1.2518880948922798e-07,2.0065
GFG5ZFMoeVrc3fapj5iu6mTyRixoN1wgab3NCjwCpump,Baby,t300,300,1.1216110314755446e-07,1.7977
GFG5ZFMoeVrc3fapj5iu6mTyRixoN1wgab3NCjwCpump,Baby,window_peak,1.0,2.2633187051174623e-07,3.6276
6Quog29HQ5tA5BdnCv3FWpW8WEpdxCsxEpt2TGCZpump,Gnomes,end_of_second_0,0,1.7756865370613863e-07,2.8461
6Quog29HQ5tA5BdnCv3FWpW8WEpdxCsxEpt2TGCZpump,Gnomes,dev_zero,23.0,1.4249586642859248e-07,2.2839
6Quog29HQ5tA5BdnCv3FWpW8WEpdxCsxEpt2TGCZpump,Gnomes,t30,30,1.3713870592984443e-07,2.1981
6Quog29HQ5tA5BdnCv3FWpW8WEpdxCsxEpt2TGCZpump,Gnomes,t60,60,1.293303542905516e-07,2.0729
6Quog29HQ5tA5BdnCv3FWpW8WEpdxCsxEpt2TGCZpump,Gnomes,t120,120,1.2570511306518965e-07,2.0148
6Quog29HQ5tA5BdnCv3FWpW8WEpdxCsxEpt2TGCZpump,Gnomes,t300,300,2.77558871134061e-07,4.4487
6Quog29HQ5tA5BdnCv3FWpW8WEpdxCsxEpt2TGCZpump,Gnomes,window_peak,283.0,3.116779359767528e-07,4.9956
FBKyGDGLg4WYVecXfSL8Ke2fNXe8Si72NeGbcRSXpump,Nuannuan,end_of_second_0,0,1.7530119968062999e-07,2.8097
FBKyGDGLg4WYVecXfSL8Ke2fNXe8Si72NeGbcRSXpump,Nuannuan,dev_zero,20.0,1.386425341209757e-07,2.2222
FBKyGDGLg4WYVecXfSL8Ke2fNXe8Si72NeGbcRSXpump,Nuannuan,t30,30,1.1715576146694768e-07,1.8778
FBKyGDGLg4WYVecXfSL8Ke2fNXe8Si72NeGbcRSXpump,Nuannuan,t60,60,1.0641435525907121e-07,1.7056
FBKyGDGLg4WYVecXfSL8Ke2fNXe8Si72NeGbcRSXpump,Nuannuan,t120,120,1.0610739834678204e-07,1.7007
FBKyGDGLg4WYVecXfSL8Ke2fNXe8Si72NeGbcRSXpump,Nuannuan,t300,300,1.6730819943020328e-07,2.6816
FBKyGDGLg4WYVecXfSL8Ke2fNXe8Si72NeGbcRSXpump,Nuannuan,window_peak,1.0,2.431354434243127e-07,3.897
FjLbCT5pj246VsQmJ5fj4za7nULWQPv5cwipFKmJpump,大坏蛋,end_of_second_0,0,1.500810208510234e-07,2.4055
FjLbCT5pj246VsQmJ5fj4za7nULWQPv5cwipFKmJpump,大坏蛋,dev_zero,17.0,1.6115146211078632e-07,2.5829
FjLbCT5pj246VsQmJ5fj4za7nULWQPv5cwipFKmJpump,大坏蛋,t30,30,1.49025971277681e-07,2.3886
FjLbCT5pj246VsQmJ5fj4za7nULWQPv5cwipFKmJpump,大坏蛋,t60,60,2.344883761807413e-07,3.7584
FjLbCT5pj246VsQmJ5fj4za7nULWQPv5cwipFKmJpump,大坏蛋,t120,120,2.2522288694643903e-07,3.6099
FjLbCT5pj246VsQmJ5fj4za7nULWQPv5cwipFKmJpump,大坏蛋,t300,300,7.512549052423392e-08,1.2041
FjLbCT5pj246VsQmJ5fj4za7nULWQPv5cwipFKmJpump,大坏蛋,window_peak,144.0,4.1088017043229726e-07,6.5856
3gEf38VM49swbxd3XynsgejSM3MSGKxkiCNBoeEbpump,Calitures,end_of_second_0,0,1.856654191879287e-07,2.9758
3gEf38VM49swbxd3XynsgejSM3MSGKxkiCNBoeEbpump,Calitures,dev_zero,16.0,1.860473880122919e-07,2.982
3gEf38VM49swbxd3XynsgejSM3MSGKxkiCNBoeEbpump,Calitures,t30,30,2.0999253967611648e-07,3.3657
3gEf38VM49swbxd3XynsgejSM3MSGKxkiCNBoeEbpump,Calitures,t60,60,2.0345147187262091e-07,3.2609
3gEf38VM49swbxd3XynsgejSM3MSGKxkiCNBoeEbpump,Calitures,t120,120,2.049262600476172e-07,3.2845
3gEf38VM49swbxd3XynsgejSM3MSGKxkiCNBoeEbpump,Calitures,t300,300,2.1855389197112752e-07,3.503
3gEf38VM49swbxd3XynsgejSM3MSGKxkiCNBoeEbpump,Calitures,window_peak,75.0,2.8192151107856517e-07,4.5186
EDbFTcQsdezqk1HNxnciwbVYPFWovz6ibZgUVp59pump,Slap,end_of_second_0,0,1.800180388577569e-07,2.8853
EDbFTcQsdezqk1HNxnciwbVYPFWovz6ibZgUVp59pump,Slap,dev_zero,22.0,1.638328405903698e-07,2.6259
EDbFTcQsdezqk1HNxnciwbVYPFWovz6ibZgUVp59pump,Slap,t30,30,2.1493544394518551e-07,3.445
EDbFTcQsdezqk1HNxnciwbVYPFWovz6ibZgUVp59pump,Slap,t60,60,2.8555485224600514e-07,4.5769
EDbFTcQsdezqk1HNxnciwbVYPFWovz6ibZgUVp59pump,Slap,t120,120,4.10880169903537e-07,6.5856
EDbFTcQsdezqk1HNxnciwbVYPFWovz6ibZgUVp59pump,Slap,t300,300,3.4451058300218397e-07,5.5218
EDbFTcQsdezqk1HNxnciwbVYPFWovz6ibZgUVp59pump,Slap,window_peak,232.0,4.2925390469239065e-07,6.8801
2xEVzpcMoHQJVzJXUEXLmwqQeSxb2cyRQWA5N9Sxpump,zalgo,end_of_second_0,0,1.6779567035540986e-07,2.6894
2xEVzpcMoHQJVzJXUEXLmwqQeSxb2cyRQWA5N9Sxpump,zalgo,dev_zero,18.0,9.63576907178344e-08,1.5444
2xEVzpcMoHQJVzJXUEXLmwqQeSxb2cyRQWA5N9Sxpump,zalgo,t30,30,8.637533512029659e-08,1.3844
2xEVzpcMoHQJVzJXUEXLmwqQeSxb2cyRQWA5N9Sxpump,zalgo,t60,60,8.409798922495407e-08,1.3479
2xEVzpcMoHQJVzJXUEXLmwqQeSxb2cyRQWA5N9Sxpump,zalgo,t120,120,9.566719654119155e-08,1.5333
2xEVzpcMoHQJVzJXUEXLmwqQeSxb2cyRQWA5N9Sxpump,zalgo,t300,300,9.422759999201827e-08,1.5103
2xEVzpcMoHQJVzJXUEXLmwqQeSxb2cyRQWA5N9Sxpump,zalgo,window_peak,1.0,2.168918333320753e-07,3.4763
BwBFxTNL7kA1wr4dwFw8tZRE1zQM68gKQcfVGEzEpump,Killswitch,end_of_second_0,0,1.799769520380844e-07,2.8847
BwBFxTNL7kA1wr4dwFw8tZRE1zQM68gKQcfVGEzEpump,Killswitch,dev_zero,17.0,1.2035328448796728e-07,1.929
BwBFxTNL7kA1wr4dwFw8tZRE1zQM68gKQcfVGEzEpump,Killswitch,t30,30,1.5693728453460108e-07,2.5154
BwBFxTNL7kA1wr4dwFw8tZRE1zQM68gKQcfVGEzEpump,Killswitch,t60,60,1.3026693317598963e-07,2.0879
BwBFxTNL7kA1wr4dwFw8tZRE1zQM68gKQcfVGEzEpump,Killswitch,t120,120,1.8326958290594355e-07,2.9374
BwBFxTNL7kA1wr4dwFw8tZRE1zQM68gKQcfVGEzEpump,Killswitch,t300,300,2.506376090091767e-07,4.0172
