wallet,launches,launches_closed,median_stake_sol,median_entry_t_s,median_entry_price_mult,median_first_exit_price_mult,median_hold_s,median_buys,median_sells,create_slot_frac,median_closed_pnl_sol,total_closed_pnl_sol,closed_hit_rate
2CHrnc2LyagAbMaMFgthiDWh7ZZ9zT9TF8WEJf7MNE71,235,221,1.3333,0.0,1.075,2.219,25.0,1,1,1.0,2.1561,503.9001,0.977
Atgx1JXsp8pTQ9Qsi74wF5pLMVwHwyQc6jJCu84evN7c,235,215,1.284,0.0,1.146,2.085,31.0,1,1,1.0,1.4661,375.0741,0.93
5brv79eFZ2rGprXNvqgVJBkBptkkw8GJX1XydJyZLyAr,97,90,4.9383,0.0,2.271,2.631,10.0,1,7,0.856,1.2739,313.7423,0.967
8kzFH4rgFzy4ccz97AhgqRT7Qbt7HnD5oJCDK1Sxdarb,235,208,1.2049,0.0,1.217,2.072,35.0,1,1,1.0,1.0448,269.9189,0.856
EgQX9R3Qph1dPHE1Ysou1auSYqRGomCNmLDC28Yg77aq,48,48,8.3951,0.0,1.986,2.157,17.0,1.0,5.0,0.708,3.9767,227.8351,0.938
2CQgjcdNEo7WtbQLpJTAVcC3Ga61pNvRDTgP5grzctFG,62,60,3.0,0.0,2.325,2.708,8.0,1.0,4.0,0.855,0.1273,38.0273,0.617
GoYiMg4YiiEHWyN8W32wgDftB7p9bpKWVrTTq4TD7kRC,7,6,9.8765,0.0,2.159,2.818,35.0,1,17,0.571,5.7715,31.2064,1.0
GoAT1C5MgqKWUanJRFQxzk1rJMshwsPFzucVNQ3c6GYx,5,4,9.8765,0.0,1.956,2.164,30.0,1,19,0.6,6.7236,27.4782,1.0
GfJA84gwT9LpeyzeckeXkCsf8vdQuA64ZYQ91xoBawvt,174,100,1.8074,0.0,1.41,2.007,43.0,1.0,1.0,1.0,0.0644,27.0088,0.53
Anubis512ho5t7S6LNSwoxUWdeQmX2kf3RvZ8ApHHF5w,76,76,2.2123,0.0,2.904,3.118,2.0,1.0,1.0,0.5,0.2908,26.386,0.855
7gEnRjDud56BVmBQMWLTticJoouzrpnyaAnN5A3EEqiy,39,38,2.4691,0.0,2.22,2.382,25.0,1,5,0.667,0.3001,19.5123,0.684
7TNYdvwDzuRKvquzn24grcGwvrtpsYK58GAWdRBnm3UT,10,6,3.9111,7.0,2.537,2.739,37.5,1.0,1.0,0.0,0.5735,16.356,0.667
7FovysP3MGZjFb2MRPtQPn27Ntejdjot2u2WAyL1fUaA,38,37,2.963,5.0,2.543,2.531,3.0,1.0,1.0,0.0,0.4247,15.1466,0.892
8eMntzBDpLZjk6jxWryhU6AZand54sqRhmv81LHmguvZ,29,29,2.963,0.0,2.649,2.75,2.0,1,3,0.862,0.5438,14.7419,0.931
3RRrTmKfKFfgHgDYTGgoaa8QgWjagtQpid7atLtgGnCp,5,2,1.9556,6.0,1.675,4.33,4.5,1,0,0.4,7.2751,14.5501,1.0
DuuRTor81GRbkNPPTmpwLDVhgtLvnbYpb1dcSuxHNFZW,117,117,2.3437,8.0,2.532,2.481,10.0,3,3,0.009,0.1149,14.4606,0.786
5P8A9bGUhroskpuA4hhRbybgt37TcTz7ft5zLAh8orpn,173,94,2.1728,0.0,1.544,2.113,43.5,1,1,1.0,-0.21,14.4381,0.351
Gku8cuthhvfoPoG18rg1EULt58xB7j1fgPoifJcyh411,61,61,3.8838,11.0,2.286,2.352,25.0,5,5,0.016,0.1788,12.7564,0.852
GDQeTnqkyeLyRSjWaeFY5HsxaWoQmmXFc1N6wyuuHiQD,23,23,2.963,0.0,2.822,2.862,1.0,1,2,0.957,0.3923,11.9449,0.913
64hP97Bwr5PubotcTeGgfhkFrGiLVVxT2kVo9M9b4AEz,99,57,1.4267,31.0,2.291,2.365,19.0,1,1,0.0,0.0684,11.134,0.737
ARMxNyBe1X3nT12usybG35Eg2LnRGmo6R4bYte8SCMuE,6,4,0.9778,16.5,1.691,2.587,18.5,1.0,1.0,0.333,2.1114,9.6855,1.0
8U3rggHbZK1VtFMA55JDyhPPy66eF8UZAQtENCo2Ur57,71,55,1.4667,17.0,1.954,2.11,9.0,1,1,0.0,0.1263,9.094,0.709
FEZ7FbH71TS57o2xgFkoD7nFPCqNUsHWyYJoD57KWmZC,19,18,0.642,10.0,2.01,2.321,10.0,1,1,0.105,0.094,8.341,0.833
2mqrindMAjJEQPLhroYWyiYPo5h9iAsahfdd4QtsjwdY,9,9,3.3899,0.0,2.293,2.578,4.0,1,4,1.0,0.5397,7.7337,0.889
CyBZ1M42J7m2z34VUDd3qVhbuH5GdcGnqgMGJJhAX8MR,59,58,1.5135,6.0,2.643,2.68,9.0,2,2,0.0,0.0824,7.1141,0.845
7WSDufZW7ScdYeWDooJaMLL51BmzM7zwaFu7TZGwq63k,42,5,1.9556,11.0,2.299,3.447,68.0,2.0,0.0,0.0,1.0531,6.8711,0.8
Bhv2qFE1KY8ZqqGUjcq88kX7GLNBA4rxiSM8Ad8ENPWy,22,22,2.4691,0.0,2.52,2.521,3.0,1.0,3.0,0.818,0.4285,6.8097,0.818
6bqbSJXwMrmu8BHPcMp3mHrqqMS9CTL5LM1SdT7Hs82K,39,39,2.9333,10.0,2.472,2.317,1.0,1,1,0.0,0.0544,6.7153,0.667
BNwVduQq1AH3ee5hnLQtbJmPyrBJHaS29b6VQt3pzvsR,99,99,0.7395,5.0,2.453,2.657,5.0,1,1,0.0,0.0403,6.3065,0.636
61ohufUkdgu8sxxP3Rj4zTMfN9qrNwg97SBzHNETng32,60,45,1.9753,14.0,2.32,2.332,12.0,1.0,1.0,0.0,0.0895,6.2686,0.644
MeskxyRYaBhYERcNP2zLVTqFVR43TMX4MihyH7AU4XN,22,20,1.9753,5.0,2.275,2.358,10.0,1.0,1.0,0.0,0.3287,6.2292,0.9
8Stx1qXxSbLxc5Dnz4m1ecCCEcTkxVU1LgJCY5cWe1k6,29,23,2.963,7.0,2.547,2.533,1.0,1,1,0.0,0.2185,6.1483,0.826
A1i5Jkxo2oAncsKtjStGq98fGk7v1drJRjTjDvDaZAL1,9,4,1.4667,6.0,2.702,4.297,38.0,1,0,0.0,0.7088,5.8611,1.0
43x1zWzjVWJbQErWM78m3Acx83FFuGSQEhmgyxUrPdQs,88,80,3.5062,0.0,1.908,1.506,43.0,1.0,1.0,1.0,-0.231,5.6883,0.412
62dTXVyxza4msU2K2BiouQ5vWXtXBeanquKJRiSjmtjv,17,17,3.5556,2.0,2.504,2.847,7.0,3,3,0.176,0.2541,5.4604,0.765
CyaE1VxvBrahnPWkqm5VsdCvyS2QmNht2UFrKJHga54o,12,6,4.8901,10.5,2.893,3.506,21.0,2.0,0.5,0.0,0.6612,5.2961,0.833
Aoc5Cd9bp2THAUPPx4bEr9JiFYma3kRJtzDcby9Cg84q,6,6,2.4321,6.0,2.445,3.349,6.0,1.0,2.0,0.0,0.9483,5.284,1.0
GmNi3xSt4zSB3PEuwDmT41V7KobZBaPnCeN26sJX8DUs,20,20,1.9753,18.5,1.554,1.576,1.0,1.0,1.0,0.0,0.2216,5.2727,0.85
Cvmo9SmWvBabC6ssW5uwThNKWipYJ6UUycBf4dibdQ97,18,10,2.3839,16.0,2.75,2.329,31.5,2.0,1.0,0.0,-0.0613,5.2409,0.4
3firtMAKkeqK3p4pB7WMT4YE8v6hyFWy5LWyHS9pvwtK,5,5,1.9513,15.0,2.744,2.326,40.0,1,1,0.0,-0.0014,5.1958,0.4
9tid6pXgWfWE5KY6kPiYjY1B8EQrzDrq6f7FoatjW57X,41,17,0.9778,8.0,2.169,2.603,32.0,1,0,0.0,0.2478,5.1402,0.765
4htXhGA3ArNRyuiURUkbv97ERZHbqBidmpL61qZULsfx,16,11,2.963,0.0,2.631,2.645,7.0,1.0,1.0,0.875,0.5488,5.0426,0.818
Gj5PtdfcU3LF8k2wLegRGyCVcrdk1tUkt1WitL4YcMv5,20,13,3.1617,5.5,2.659,2.306,5.0,1.0,1.0,0.0,0.1326,5.0041,0.615
