# The WIDENED population: the 37 pump.fun deployers that passed the committed Stage 1 gate in
# 2026-07 and are invisible to every discovery source this repo has.
#
# Source: `slot-zero-census-gate-true-denominator` -> `gate-passers-2026-07.md`, the rows marked
# **unseen** (held in firstmate's records, not in this repo). Census read 2026-08-07 over all
# 176,200 pump.fun deployers active in 2026-07; 58 passed, 21 are reachable by some current source,
# these 37 are not. Captain decision 398a is what makes them measurable.
#
# A supplied wallet list is a SEED, never a substitute for the gate (398a) -- every address below is
# gated by the committed Stage 1 bars exactly as a vendor-seeded one is.
#
# Trailing comment on each line: census rank by lifetime launches, and that wallet's actual 2026-07
# launch count.
2E94st2NZnzA943HBceijgkw75gXTTxch39yquMBfeQk # rank 2, july 432
hZPbb8fV418cRdFRzyLDumct9SgEsEqeLEoos9JF8DP # rank 6, july 174
gVDXhoGbePACvSqN7CZBtQXFW9eyJwsgudPEwSydAkx # rank 7, july 44
DHicUhRqTzaQRZaAoStMVizJL83UziUTa9pDuW83w8ph # rank 10, july 64
5dUXg97Ltrjid2KVTQAb6p6PVZXBneHcgV1Z8A9xzKgg # rank 11, july 111
EYfdt8cNFyyTEJKp18dcoVbgUHDnM1SK3bT2uKj9XXHc # rank 12, july 47
49nSpmxwnTTyXujNm3zHqoin1mg1y1rKd1THXwJjYdLa # rank 15, july 13
H5Wh4EDvWQT4mShH746V5VDqxHQkaQZyPWfuhy1PRVBg # rank 16, july 9
5ZJQSU7YHuDQqtUhL1z65UUuEnaJJ73J3YCBAo9uuTVD # rank 18, july 7
8bNVhB8gcceH5XBS8DqpFf5bjenQXAdWtZT9KqDC1AKR # rank 19, july 2
EgFYLqyAHFfpbDNd3HtnytnJ2xV2yyduChNWHBih9fvv # rank 20, july 46
FwVtfTE6jYmEH6z4zF5W5PwC9S4Y4R34fDiEsjja3Gwm # rank 22, july 70
CKe8kev7FGtnEFST3s7Mfoi3SDHuuMBnL6SwozNxCzTf # rank 23, july 34
BQTBiCHg2tw6nF9f9ccMdu55vaKw7y1P5xUFEZxiV8yt # rank 25, july 51
HH7jLETzcSBnFQcAG5D4VUiFYPSATTyhu5R3QCgzW2M # rank 26, july 6
2NQNzbEx5vYyGmLe2ELU5p8J7P4VMg3rnV4VM4CAb4oU # rank 27, july 50
9VXuNqqqzniYYW3fRDeaCtUUtqWsEeWWn5umh3aF9h17 # rank 28, july 3
5Xpa73eaxqDgUmsnUq4dZYPXskoSvo9SDRCsJfVniLEF # rank 29, july 22
CfkaAru9ArJ2tAStYHvbAyRBJL3EhDzsWYV2KYg9shxB # rank 31, july 9
8dPdrqFuoJVFTc97JXqjLXT1Wwdf4S7k24Ywq9tMdTGV # rank 32, july 52
A257pvy8sJoXKAsLY7oP1ZBCkk94dTRPQfKEh1XrQoen # rank 33, july 28
4DrtsW86GarGJJeYrBwYCjoyMgDPG95QWSGhFHvCkU2s # rank 35, july 5
5wHuMhntF2At2iWVCPm3Cj9H3ZJvZsWHWq4QvPmg5jMV # rank 36, july 5
8HFHbdAg9goKSt1SXaMmFpaQK2Ghp8Mm4gr4y4GFXFb7 # rank 39, july 29
58Ursk3D3sZt4CrUpuJoWjmY17Xwy8XMHmg4tDhKqDYJ # rank 40, july 29
2K5by5vAcdExMmroWSi4s2cyFpW1xgyYGXd39DTaTGgT # rank 41, july 29
9UzWS3ka4v6EikBeZxSjw7RUEdwZL2QAUgPMfFhFBZfT # rank 42, july 2
6xDpid1beBpmzaBKpd2L4Y44CJAo132cjc6xtzFCKnL1 # rank 44, july 2
5scjzbYCiBzJVeHKnExzxgGT9q64gZoi2FPgSpf8BWAA # rank 47, july 3
569FkAkKyAspDq9uKr6ydKkav7H7V2kgWo26JY42nSox # rank 48, july 1
5b9vCHpUebnprsgYUbUSmJ3WroSSpVR2iHNBW6RPBBaE # rank 49, july 1
DgXVwhDRi6gDJg3XZ37jYnP1oaDmyGTa67AmJkyTwMCU # rank 52, july 29
Bcs5kbnrih4BxNbU8aUTasvfmi5LkgkQXzWX7d1miLXp # rank 53, july 1
7d3mQnXjc76v9ZKZQ5T7LU2d3JyaKXfBvnhtfUAiR2hw # rank 54, july 6
3AGPvBE6ErX9tQ7ciyRfmPbfjmxcoYWKoX899N8iNXrr # rank 55, july 9
9hPBg6iqJKRASs8DYNrUWm6z7vRZ1R7n5N35dKTAVpWg # rank 56, july 1
3bEwPfUAuwu6eEtQmRTNDpxWCno9RYUXt9MJBy56XzD6 # rank 57, july 16
